Kinase,Compounds,Binding value,Docking value
CLK1,32597.0,7.030935359013219,-8.011
CLK1,11700495.0,7.073520464150112,-8.948
CLK1,11388558.0,7.084420414147607,-8.265
CLK1,39425.0,7.189326524019105,-9.191
CLK1,6538287.0,7.724168550082215,-8.313
CLK1,92326.0,8.000402907684288,-8.667
CLK1,83975.0,8.033648029690287,-9.257
CLK1,12040175.0,8.12467442082562,-8.293
CLK1,135346206.0,8.458616145243816,-9.151
CLK1,91759.0,8.628835978730411,-8.463
CLK1,71615984.0,8.908539538267377,-10.15
CLK1,92433.0,8.99299167383262,-9.117
CLK1,7095.0,9.06539724831687,-8.443
CLK1,6795.0,9.07221117320626,-8.17
CLK1,195429.0,9.18101542107049,-8.237
CLK1,23466.0,10.08445473911272,-9.062
CLK1,93525.0,10.1294139709139,-8.093
CLK1,24743.0,10.22401028315332,-8.697
CLK1,3081363.0,10.23822758861614,-8.9
CLK1,11158213.0,10.3169809367143,-9.367
CLK1,42807.0,11.14964965275109,-8.164
CLK1,5748526.0,11.14964965275109,-8.091
CLK1,14127920.0,11.26169874513871,-8.791
CLK1,5053.0,11.33956662685348,-9.127
CLK1,56945145.0,11.36783204107278,-10.129
CLK1,176133503.0,11.4153763630418,-9.064
CLK1,162381.0,11.4435666010043,-9.306
CLK1,12708735.0,11.44356660100437,-9.909
CLK1,41073.0,11.47877894186371,-8.464
CLK1,20056.0,11.5906982151303,-8.249
CLK1,91778.0,12.5418386556079,-8.706
CLK1,165392216.0,12.7974909849147,-9.069
CLK1,18772468.0,12.85730120231664,-8.739
CLK1,14146.0,13.03048284869236,-8.622
CLK1,4767.0,13.03236573172688,-8.812
CLK1,12761569.0,13.35035931505533,-8.773
CLK1,52998.0,13.59709623683272,-9.234
CLK1,5282227.0,13.66943171076849,-8.354
CLK1,91730.0,13.73753154912428,-8.646
CLK1,12128785.0,13.78598516990387,-8.601
CLK1,6440554.0,13.93041875142584,-10.382
CLK1,115171.0,13.94027181626284,-8.987
CLK1,11629002.0,14.06081640194402,-8.933
CLK1,9796266.0,14.28781623010197,-8.187
CLK1,40326.0,14.69668010857611,-10.351
CLK1,12617362.0,14.79701707678617,-9.865
CLK1,93539.0,14.8830479228171,-9.258
CLK1,100039.0,15.13247778158675,-8.133
CLK1,50897.0,15.30378351608595,-8.188
CLK1,3033674.0,15.30378351608595,-8.302
CLK1,23681922.0,15.46197146188822,-8.492
CLK1,23690427.0,15.52701053619003,-8.991
CLK1,6436606.0,15.60592908503499,-9.92
CLK1,40585.0,15.61333480871225,-9.668
CLK1,91745.0,15.75495518421954,-11.328
CLK1,172676669.0,15.81218639401975,-10.402
CLK1,213013.0,15.8738511696499,-10.095
CLK1,107901.0,15.87778907377962,-9.18
CLK1,91772.0,15.88479702216082,-8.578
CLK1,146479070.0,16.00521577382304,-8.872
CLK1,35623558.0,16.08361129815802,-8.395
CLK1,22094.0,16.21124369010382,-8.525
CLK1,91694.0,16.21516360356192,-8.427
CLK1,6295.0,16.2196535415031,-8.444
CLK1,11556910.0,16.45990952862845,-8.374
CLK1,52997.0,16.67695499321396,-9.166
CLK1,86354.0,16.750149770667,-8.744
CLK1,16562.0,16.75784861566752,-8.318
CLK1,183559.0,16.82338842097243,-8.569
CLK1,86173.0,17.13771236311655,-9.501
CLK1,91751.0,17.18428607000731,-9.896
CLK1,91733.0,17.31469283240108,-8.276
CLK1,91701.0,17.31469283240108,-8.187
CLK1,91656.0,17.3398981155811,-9.296
CLK1,11688533.0,17.3916102722924,-9.089
CLK1,56608859.0,17.5629554076009,-9.848
CLK1,104926.0,17.562955407601,-10.087
CLK1,176879.0,17.6347060732507,-8.885
CLK1,3294375.0,17.68175940344002,-11.166
CLK1,27189.0,17.77802259122711,-8.996
CLK1,13013865.0,17.77802259122711,-8.935
CLK1,156304554.0,17.83102612303166,-9.261
CLK1,92401.0,17.94317915315055,-8.162
CLK1,174656.0,18.05613240551376,-8.221
CLK1,15118048.0,18.08447737515561,-8.186
CLK1,11496886.0,18.10150332782458,-8.62
CLK1,9969573.0,18.16578060079196,-9.502
CLK1,132910.0,18.24096786298212,-9.116
CLK1,89650759.0,18.27639737802257,-8.603
CLK1,91665.0,18.31528176708481,-8.268
CLK1,3347.0,18.3232060040211,-9.95
CLK1,86103.0,18.36374637042174,-9.117
CLK1,11534837.0,18.41436659820419,-9.441
CLK1,16004663.0,18.73235425195157,-8.069
CLK1,56602311.0,18.90638464889325,-9.874
CLK1,50896.0,18.92309023546774,-8.053
CLK1,157010717.0,19.09103864351213,-8.146
CLK1,86356.0,19.21134397391129,-9.358
CLK1,6450825.0,19.21180491432618,-10.239
